Team,Position,Jersey Number,First Name,Last Name,Full Name,Player Link
Under-18s,Midfielders,,Finley,McAllister,Finley McAllister,https://www.manutd.com/en/players-and-staff/detail/finley-mcallister
Under-18s,Midfielders,,Ruben,Curley,Ruben Curley,https://www.manutd.com/en/players-and-staff/detail/ruben-curley
Under-18s,Midfielders,,Tyler,Fletcher,Tyler Fletcher,https://www.manutd.com/en/players-and-staff/detail/tyler-fletcher
Under-18s,Midfielders,,Zach,Baumann,Zach Baumann,https://www.manutd.com/en/players-and-staff/detail/zachary-baumann
Under-18s,Midfielders,,Ethan,Williams,Ethan Williams,https://www.manutd.com/en/players-and-staff/detail/ethan-williams
Under-18s,Midfielders,,Jack,Fletcher,Jack Fletcher,https://www.manutd.com/en/players-and-staff/detail/jack-fletcher
Under-18s,Midfielders,,Jack,Moorhouse,Jack Moorhouse,https://www.manutd.com/en/players-and-staff/detail/jack-moorhouse
Under-18s,Midfielders,,Jayce,Fitzgerald,Jayce Fitzgerald,https://www.manutd.com/en/players-and-staff/detail/jayce-fitzgerald
Under-18s,Midfielders,,Jacob,Devaney,Jacob Devaney,https://www.manutd.com/en/players-and-staff/detail/jacob-devaney
Under-18s,Forwards,,Shea,Lacey,Shea Lacey,https://www.manutd.com/en/players-and-staff/detail/shea-lacey
Under-18s,Forwards,,Victor,Musa,Victor Musa,https://www.manutd.com/en/players-and-staff/detail/victor-musa
Under-18s,Forwards,,Malachi,Sharpe,Malachi Sharpe,https://www.manutd.com/en/players-and-staff/detail/malachi-sharpe
Under-18s,Forwards,,Ashton,Missin,Ashton Missin,https://www.manutd.com/en/players-and-staff/detail/ashton-missin
Under-18s,Forwards,,Gabriele,Biancheri,Gabriele Biancheri,https://www.manutd.com/en/players-and-staff/detail/gabriele-biancheri
Under-18s,Forwards,,Sekou,Kaba,Sekou Kaba,https://www.manutd.com/en/players-and-staff/detail/sekou-kaba
Under-18s,Forwards,,Ethan,Wheatley,Ethan Wheatley,https://www.manutd.com/en/players-and-staff/detail/ethan-wheatley
